experiment_number,model,dataset,model_family,dataset_type,timestamp,accuracy,f1_score,auprc,status,time_per_epoch_seconds,peak_gpu_memory_mb,peak_gpu_memory_gb,flops_per_epoch,total_gflops,epochs_completed,total_training_time,total_runtime,accuracy_per_second,flops_efficiency,memory_efficiency,time_efficiency,gflops_per_second,avg_gpu_memory_mb,avg_gpu_utilization_percent,avg_gpu_temperature_c,monitoring_samples_collected,performance_class,runtime_class,memory_class,computational_intensity,estimated_energy_kwh,energy_efficiency
1,TimesURL,Chinatown,TimesURL,UCR,2025-08-28 12:42:43,0.9854,0.0,0.0,success,0.0,0,0.0,112641278.15707481,0.11264127815707481,1,26.9,27.21,0.0362146269753767,8.748125164434747,0.0,0.0,0.004139701512571658,0,0,0,0,excellent,fast,low,unknown,0.0,0.0
2,SoftCLT,Chinatown,TS2vec,UCR,2025-08-28 12:42:51,0.9796,0.0,0.0,success,0.0,0,0.0,52297736.28721331,0.05229773628721331,1,7.9,8.21,0.11931790499390986,18.731212276954906,0.0,0.0,0.006370004419879818,0,0,0,0,excellent,very_fast,low,unknown,0.0,0.0
3,TimeHUT,Chinatown,TS2vec,UCR,2025-08-28 12:43:00,0.9738,0.0,0.9969,success,0.0,0,0.0,60343541.86986151,0.06034354186986152,1,8.5,8.79,0.1107849829351536,16.13760097311031,0.0,0.0,0.006865021828198125,0,0,0,0,excellent,very_fast,low,unknown,0.0,0.0
4,TS2vec,Chinatown,TS2vec,UCR,2025-08-28 12:43:06,0.9708,0.0,0.0,success,0.0,0,0.0,48274833.49588921,0.04827483349588921,1,6.2,6.51,0.14912442396313363,20.10985703519138,0.0,0.0,0.007415489016265623,0,0,0,0,excellent,very_fast,low,unknown,0.0,0.0
5,CoST,Chinatown,MF-CLR,UCR,2025-08-28 12:43:29,0.9504,0.0,0.0,success,0.0,0,0.0,240000000.0,0.24,1,22.8,23.09,0.04116067561715028,3.9600000000000004,0.0,0.0,0.01039411000433088,0,0,0,0,excellent,fast,low,unknown,0.0,0.0
6,CPC,Chinatown,MF-CLR,UCR,2025-08-28 12:43:44,0.9242,0.0,0.0,success,0.0,0,0.0,120000000.0,0.12,1,14.5,14.78,0.06253044654939108,7.701666666666667,0.0,0.0,0.008119079837618403,0,0,0,0,good,fast,low,unknown,0.0,0.0
7,TS_TCC,Chinatown,MF-CLR,UCR,2025-08-28 12:43:54,0.9184,0.0,0.0,success,0.0,0,0.0,68389347.45250972,0.06838934745250971,1,9.8,10.1,0.09093069306930693,13.428992002559268,0.0,0.0,0.006771222520050467,0,0,0,0,good,fast,low,unknown,0.0,0.0
8,TLoss,Chinatown,MF-CLR,UCR,2025-08-28 12:46:48,0.7726,0.0,0.0,success,0.0,0,0.0,56320639.078537405,0.056320639078537404,1,173.1,173.38,0.004456107970930903,13.717884112121542,0.0,0.0,0.00032483930717809096,0,0,0,0,moderate,slow,low,unknown,0.0,0.0
9,TNC,Chinatown,MF-CLR,UCR,2025-08-28 12:47:23,0.5423,0.0,0.0,success,0.0,0,0.0,192000000.0,0.192,1,35.5,35.74,0.01517347509792949,2.8244791666666664,0.0,0.0,0.005372132064913262,0,0,0,0,poor,medium,low,unknown,0.0,0.0
10,TFC,Chinatown,MF-CLR,UCR,2025-08-28 12:47:33,0.5831,0.0,0.0,success,0.0,0,0.0,72412250.24383381,0.07241225024383381,1,9.7,9.95,0.05860301507537689,8.052504901263626,0.0,0.0,0.007277613089832545,0,0,0,0,poor,very_fast,low,unknown,0.0,0.0
11,MF_CLR,Chinatown,MF-CLR,UCR,2025-08-28 12:47:42,0.3965,0.0,0.0,success,0.0,0,0.0,52297736.28721331,0.05229773628721331,1,8.3,8.57,0.046266044340723456,7.5815901059745,0.0,0.0,0.006102419636781016,0,0,0,0,very_poor,very_fast,low,unknown,0.0,0.0
