model_name,dataset,optimizer_type,accuracy,f1_score,training_time,epochs_completed,gpu_memory_mb,flops,source_file,hyperparameters,status,auprc,training_time_per_epoch,auroc,precision,recall,gpu_temp_max,gpu_temp_avg,rank
TS2vec,Chinatown,,0.9708454810495627,0.0,5.977186679840088,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_223332/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,3.894832,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.229165315628052,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_221243/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,4.116919,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.067048788070679,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,3.972659,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.29841160774231,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213333/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,4.114371,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.158459663391113,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_214253/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,4.053501,0.0,0.0,0.0,,,5
CoST,Chinatown,,0.9504,0.9409,18.102739572525024,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_222759/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'CoST', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,6
CoST,Chinatown,,0.9504,0.9409,11.410925149917603,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_222130/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'CoST', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.989,0.0,0.9937,0.9234,0.9659,,,6
CPC,Chinatown,,0.9096,0.896,8.067817449569702,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_221845/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'CPC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.968,0.0,0.9903,0.876,0.9378,,,7
TS_TCC,Chinatown,,0.898,0.8837,3.5273571014404297,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_220551/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9896,0.0,0.9935,0.8643,0.9297,,,8
TLoss,Chinatown,,0.8251,0.8085,161.45502042770386,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_220930/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TLoss', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.9129,0.0,0.9418,0.7997,0.8696,,,9
